"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"11","3.961972","192.168.1.122","130.192.1.34","TCP","66","64162  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"12","3.987044","130.192.1.34","192.168.1.122","TCP","66","80  >  64162 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"13","3.987285","192.168.1.122","130.192.1.34","TCP","54","64162  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"14","3.993323","192.168.1.122","130.192.1.34","HTTP","226","GET /~lioy/01nbe/lab2/test100k.dat HTTP/1.1 ","513"
"15","4.018617","130.192.1.34","192.168.1.122","TCP","60","80  >  64162 [ACK] Seq=1 Ack=173 Win=30336 Len=0","237"
"16","4.018952","130.192.1.34","192.168.1.122","HTTP","456","HTTP/1.1 301 Moved Permanently  (text/html)","237"
"17","4.060514","192.168.1.122","130.192.1.34","TCP","54","64162  >  80 [ACK] Seq=173 Ack=403 Win=130816 Len=0","511"
"18","4.067789","192.168.1.122","130.192.1.34","TCP","66","64163  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"19","4.084334","130.192.1.34","192.168.1.122","TCP","66","443  >  64163 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"20","4.084517","192.168.1.122","130.192.1.34","TCP","54","64163  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"21","4.089434","192.168.1.122","130.192.1.34","TLSv1.2","462","Client Hello","513"
"22","4.105740","130.192.1.34","192.168.1.122","TCP","60","443  >  64163 [ACK] Seq=1 Ack=409 Win=30336 Len=0","237"
"23","4.105740","130.192.1.34","192.168.1.122","TLSv1.2","1514","[TCP Previous segment not captured] , Ignored Unknown Record","237"
"24","4.105740","130.192.1.34","192.168.1.122","TCP","1514","[TCP Out-Of-Order] 443  >  64163 [ACK] Seq=1 Ack=409 Win=30336 Len=1460","237"
